areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E12000001,North East,region,2022-06-10,05_09,0,0,0.0
E12000001,North East,region,2022-06-10,10_14,0,0,0.0
E12000001,North East,region,2022-06-10,15_19,0,0,0.0
E12000001,North East,region,2022-06-10,20_24,0,0,0.0
E12000001,North East,region,2022-06-10,25_29,0,0,0.0
E12000001,North East,region,2022-06-10,30_34,0,0,0.0
E12000001,North East,region,2022-06-10,35_39,0,0,0.0
E12000001,North East,region,2022-06-10,40_44,0,0,0.0
E12000001,North East,region,2022-06-10,45_49,0,0,0.0
E12000001,North East,region,2022-06-10,50_54,0,0,0.0
E12000001,North East,region,2022-06-10,55_59,0,0,0.0
E12000001,North East,region,2022-06-10,60+,6,27,3.8
E12000001,North East,region,2022-06-10,60_64,0,0,0.0
E12000001,North East,region,2022-06-10,65_69,2,3,2.0
E12000001,North East,region,2022-06-10,70_74,1,6,4.1
E12000001,North East,region,2022-06-10,75_79,1,4,4.0
E12000001,North East,region,2022-06-10,80_84,1,3,4.0
E12000001,North East,region,2022-06-10,85_89,1,5,11.4
E12000001,North East,region,2022-06-10,90+,0,6,26.6
E12000001,North East,region,2022-06-09,00_04,0,0,0.0
E12000001,North East,region,2022-06-09,00_59,0,1,0.1
E12000001,North East,region,2022-06-09,05_09,0,0,0.0
E12000001,North East,region,2022-06-09,10_14,0,0,0.0
E12000001,North East,region,2022-06-09,15_19,0,0,0.0
E12000001,North East,region,2022-06-09,20_24,0,0,0.0
E12000001,North East,region,2022-06-09,25_29,0,0,0.0
E12000001,North East,region,2022-06-09,30_34,0,0,0.0
E12000001,North East,region,2022-06-09,35_39,0,1,0.6
E12000001,North East,region,2022-06-09,40_44,0,0,0.0
E12000001,North East,region,2022-06-09,45_49,0,0,0.0
E12000001,North East,region,2022-06-09,50_54,0,0,0.0
E12000001,North East,region,2022-06-09,55_59,0,0,0.0
E12000001,North East,region,2022-06-09,60+,4,23,3.2
